5.2      .61    7.4     31.0    20.0    22.0    35.3    54.8    4.0     10.98
5.12    .64     8.0     29.0    20.0    25.0    29.7    64.0    5.0     11.13
6.19    .78     7.4     31.0    23.0    17.0    30.8    54.8    4.0     12.51
3.89    .49     7.5     30.0    20.0    22.0    58.8    56.3    4.0      8.40
6.28    .84     5.5     31.0    21.0     0.0    61.4    30.3    5.0      9.27
5.76    .74     8.9     30.0    22.0     0.0    71.3    79.2    4.0      8.73
3.45    .42     4.1     31.0    11.0     0.0    74.4    16.8    2.0      6.36
6.57    .87     4.1     31.0    23.0     0.0    76.7    16.8    5.0      8.50
5.69    .75     4.1     30.0    21.0     0.0    70.7    16.8    4.0      7.82
6.14    .76     4.5     31.0    20.0     0.0    57.5    20.3    5.0      9.14
4.84    .65     10.3    30.0    20.0    11.0    46.4    106.1   4.0      8.24
4.88    .62     6.9     31.0    21.0    12.0    28.9    47.6    4.0     12.19
6.03    .79     6.6     31.0    21.0    25.0    28.1    43.6    5.0     11.88
4.55    .60     7.3     28.0    19.0    18.0    39.1    53.3    5.0      9.57
5.71    .70     8.1     31.0    23.0     5.0    46.8    65.6    4.0     10.94
5.67    .74     8.4     30.0    20.0     7.0    48.5    70.6    4.0      9.58
6.72    .85     6.1     31.0    22.0     0.0    59.3    37.2    6.0     10.09
4.95    .67     4.9     30.0    22.0     0.0    70.0    24.0    4.0      8.11
4.62    .45     4.6     31.0    11.0     0.0    70.0    21.2    3.0      6.83
6.60    .95     3.7     31.0    23.0     0.0    74.5    13.7    4.0      8.88
5.01    .64     4.7     30.0    20.0     0.0    72.1    22.1    4.0      7.68
5.68    .75     5.3     31.0    21.0     1.0    58.1    28.1    6.0      8.47
5.28    .70     6.2     30.0    20.0    14.0    44.6    38.4    4.0      8.86
5.36    .67     6.8     31.0    20.0    22.0    33.4    46.2    4.0     10.36
5.87    .70     7.5     31.0    22.0    28.0    28.6    56.3    5.0     11.08
